districtID,district,provinceID,province,islandID,island,grdp_pc_2000,grdp_pc_2001,grdp_pc_2002,grdp_pc_2003,grdp_pc_2004,grdp_pc_2005,grdp_pc_2006,grdp_pc_2007,grdp_pc_2008,grdp_pc_2009,grdp_pc_2010,grdp_pc_2011,grdp_pc_2012,grdp_pc_2013,grdp_pc_2014,grdp_pc_2015,grdp_pc_2016,grdp_pc_2017,grdp_pc_2018,grdp_pc_2019,grdp_pc_2020,grdp_pc_2021,grdp_pc_2022,grdp_pc_2023,grdp_pc_2024
3202,Sukabumi,32,Jawa Barat,3,Jawa,9352.0,9571.6,9799.0,10021.3,10303.1,10694.2,10996.6,11363.4,11713.9,12052.4,12405.3,12811.7,13274.7,13917.4,14666.5,15310.0,16136.0,17003.0,17938.0,18651.0,17010.0,17447.0,18156.0,18910.0,19704.0
3203,Cianjur,32,Jawa Barat,3,Jawa,6790.3,6955.0,7120.0,7284.0,7496.5,7748.8,7931.2,8203.9,8477.1,8754.7,9064.4,9433.0,9854.2,10283.0,10754.1,11297.7,11987.0,12647.0,13412.0,13900.0,12869.0,13156.0,13660.0,14205.0,14781.0
3204,Bandung,32,Jawa Barat,3,Jawa,11257.0,11520.0,11775.5,12037.0,12420.5,12904.6,13339.7,13836.8,14272.5,14592.3,15097.1,15662.9,16309.9,16941.8,17607.2,18308.1,19130.0,19969.0,20879.0,22321.0,22433.0,22985.0,23985.0,24947.0,25981.0
3205,Garut,32,Jawa Barat,3,Jawa,7838.2,7990.4,8162.8,8237.6,8445.0,8719.6,8951.7,9269.3,9594.0,10017.5,10406.9,10851.2,11228.8,11644.4,12090.6,12524.3,13156.0,13699.0,14282.0,14939.0,14949.0,15298.0,15860.0,16428.0,17030.0
3206,Tasikmalaya,32,Jawa Barat,3,Jawa,7145.4,7249.3,7370.9,7520.3,7703.2,7960.0,8197.0,8487.2,8764.6,9066.1,9360.2,9696.5,10051.3,10459.1,10904.9,11326.0,11953.0,12627.0,13316.0,13789.0,13081.0,13416.0,13932.0,14472.0,15034.0
3207,Ciamis,32,Jawa Barat,3,Jawa,8772.5,8908.6,9157.5,9396.3,9696.5,10086.5,10363.4,10793.0,11237.3,11702.2,12139.4,12686.6,13243.6,13869.7,14490.1,15213.7,16033.0,16774.0,17565.0,18329.0,17898.0,18444.0,19238.0,20065.0,20934.0
3208,Kuningan,32,Jawa Barat,3,Jawa,7162.9,7367.7,7556.7,7711.2,7931.7,8208.7,8453.2,8735.4,9035.0,9358.8,9697.2,10161.1,10577.0,11170.0,11805.5,12484.2,13163.0,13917.0,14725.0,15560.0,14495.0,14868.0,15517.0,16159.0,16893.0
3209,Cirebon,32,Jawa Barat,3,Jawa,7494.8,7744.3,7935.2,8123.9,8393.9,8754.8,9090.8,9480.0,9848.1,10251.5,10602.8,11048.3,11488.9,11964.2,12472.1,12978.7,13602.0,14180.0,14779.0,15421.0,14696.0,14829.0,15237.0,15779.0,16507.0
3210,Majalengka,32,Jawa Barat,3,Jawa,8210.9,8504.3,8667.0,8826.2,9090.5,9451.6,9748.9,10146.5,10534.0,10958.0,11322.2,11793.3,12285.3,12826.9,13390.1,14035.1,14808.0,15740.0,16682.0,17759.0,16704.0,17329.0,18297.0,19240.0,20287.0
3211,Sumedang,32,Jawa Barat,3,Jawa,9921.6,10128.3,10382.4,10629.8,10965.1,11400.0,11750.0,12194.2,12651.9,13155.9,13567.8,14112.5,14670.1,15281.9,15911.4,16661.8,17538.0,18559.0,19574.0,20490.0,20552.0,21021.0,21898.0,22811.0,23557.0
3212,Indramayu,32,Jawa Barat,3,Jawa,27967.9,27541.1,29044.6,26485.7,27413.1,25136.1,25475.0,25940.8,26912.6,27216.9,27957.0,29163.0,30892.2,31599.5,32972.8,33498.6,33341.0,33635.0,33904.0,34629.0,32336.0,32156.0,32700.0,35494.0,35894.0
3213,Subang,32,Jawa Barat,3,Jawa,9003.9,9253.9,9749.7,10239.0,10804.1,11443.4,11546.6,11953.0,12314.8,12729.3,13052.0,13486.9,13904.8,14317.1,14874.8,15494.4,16156.0,16800.0,17358.0,18264.0,17797.0,17869.0,18466.0,19157.0,19918.0
3214,Purwakarta,32,Jawa Barat,3,Jawa,26026.2,26408.2,26894.1,27125.9,27631.8,28252.0,28832.3,29502.5,30476.3,31617.6,32861.3,34427.0,36070.1,38105.7,39757.9,41126.4,43068.0,44776.0,46508.0,48924.0,45549.0,46426.0,48176.0,49891.0,51547.0
3215,Karawang,32,Jawa Barat,3,Jawa,24092.2,26186.3,26612.5,27309.6,29777.3,31796.1,33661.7,35265.8,38589.8,40931.8,45092.7,48501.8,50656.7,54050.5,56326.8,58254.0,61472.0,64045.0,67345.0,70240.0,64852.0,67709.0,71097.0,74050.0,76301.0
